id_evento,nome,data,cidade,estado,tipo_evento,evento_terceiro,organizador,id_organizador
34752,Circuito de las Estaciones 2018 - Verano - Buenos Aires,2018-12-16 00:00:00,Buenos Aires,CABA,Corrida de Rua,2,,0
34828,Night Run 2018 - Nitro - Argentina,2018-12-08 00:00:00,Buenos Aires,CABA,Corrida de Rua,2,O2Corre,14
36249,Circuito de las Estaciones 2019 - Invierno - Buenos Aires,2019-06-30 00:00:00,Buenos Aires,CABA,Corrida de Rua,2,Estaciones Argentina,23
36250,Circuito de las Estaciones 2019 - Primavera - Buenos Aires,2019-09-29 00:00:00,Buenos Aires,CABA,Corrida de Rua,2,Estaciones Argentina,23
36251,Circuito de las Estaciones 2019 - Verano - Buenos Aires,2019-12-15 00:00:00,Buenos Aires,CABA,Corrida de Rua,2,Estaciones Argentina,23
34510,ASICS Golden Run 2018 - Salvador,2018-04-15 00:00:00,Salvador,BA,Corrida de Rua,2,,0
34512,ASICS Golden Run 2018 - São Paulo,2018-05-13 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,,0
32728,ASICS Golden Run 2017 - Rio de Janeiro,2017-07-30 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,2,,0
32731,ASICS Golden Run 2017 - Brasília,2017-10-29 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,2,,0
24228,ASICS Golden Run 2017 - São Paulo,2017-06-04 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,,0
32729,ASICS Golden Run 2017 - Salvador,2017-05-14 00:00:00,Salvador,BA,Corrida de Rua,2,,0
34513,ASICS Golden Run 2018 - Rio de Janeiro,2018-07-29 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,2,,0
34515,ASICS Golden Run 2018 - Brasília,2018-10-21 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,2,,0
36558,MOV - Salvador - Obstáculos,2019-09-07 00:00:00,Salvador,BA,Outros,1,MOV,27
36550,MOV - Brasília - Obstáculos,2019-06-29 00:00:00,Bras&iacute;lia,DF,Outros,1,MOV,27
36917,Disney Magic Run 2019 - São Paulo,2019-11-03 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,Disney,11
36318,27ª Maratona Pão de Açúcar de Revezamento São Paulo,2019-09-22 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,Pão de Açúcar,15
36779,Circuito Pedala 2019 - Rio de Janeiro,2019-09-01 00:00:00,Rio de Janeiro,RJ,Bike,1,VO2,20
36780,Circuito Pedala 2019 - Belo Horizonte,2019-09-15 00:00:00,Belo Horizonte,MG,Bike,1,VO2,20
37034,Corrida do Bem 2019 - Etapa Belo Horizonte,2019-12-08 00:00:00,Belo Horizonte,MG,Corrida de Rua,2,Instituto Educare,12
36865,Corrida do Bem 2019 - Etapa Piracicaba,2019-12-01 00:00:00,Piracicaba,SP,Corrida de Rua,1,Instituto Educare,12
37443,Corrida do Bem 2019 - Etapa São Paulo,2019-12-01 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,Instituto Iserbem,13
37444,Corrida do Bem 2019 - Etapa Macaé,2019-12-08 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,Instituto Educare,12
37442,Corrida do Bem 2019 - Etapa Rio de Janeiro,2019-11-24 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,Terceiros,19
37211,Corrida do Bem 2019 - Etapa Londrina,2019-11-24 00:00:00,Londrina,PR,Corrida de Rua,1,Instituto Educare,12
37523,Circuito Juntos 2019 - Araraquara,2019-11-24 00:00:00,Araraquara,SP,Corrida de Rua,2,Instituto Educare,12
34543,Bravus Race 2018 - Monster - São Paulo,2018-08-05 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,2,,0
38002,Freedom Race - Essencial Para Você,2020-12-09 00:00:00,Brasil,BR,Corrida de Rua,2,Terceiros,19
34542,Bravus Race 2018 - Speed - São Paulo - 3º Etapa,2018-12-02 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,2,,0
36050,Bravus Race 2019 - Speed - São Paulo - 2º Etapa,2019-09-08 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,2,Bravus,7
36051,Bravus Race 2019 - Monster & Speed - São Paulo,2019-09-08 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,2,Bravus,7
36049,Bravus Race 2019 - Speed - São Paulo - 1º Etapa,2019-03-31 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,2,Bravus,7
36053,Bravus Race 2019 - Speed - São Paulo - 3º Etapa,2019-12-01 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,2,Bravus,7
35869,Night Run 2019 - Rock - São Paulo,2019-05-04 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,O2Corre,14
35877,Night Run 2019 - Pop - Rio de Janeiro,2019-08-31 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,2,O2Corre,14
35878,Night Run 2019 - Pop - São Paulo,2019-11-02 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,O2Corre,14
34311,Night Run 2018 - Turbo - São Paulo,2018-11-10 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,O2Corre,14
34296,Circuito das Estações 2018 - Inverno - Brasília,2018-06-17 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,2,O2Corre,14
34330,Circuito das Estações 2018 - Verão - Curitiba,2018-11-25 00:00:00,Curitiba,PR,Corrida de Rua,2,O2Corre,14
34336,Circuito das Estações 2018 - Verão - Fortaleza,2018-12-09 00:00:00,Fortaleza,CE,Corrida de Rua,2,O2Corre,14
37289,Circuito das Estações - Outono - Reverse VR - Salvador,2020-12-21 00:00:00,Salvador,BA,Corrida de Rua,2,O2Corre,14
37491,Circuito das Estações 2020 - Outono - Florianópolis,2020-03-15 00:00:00,Florian&oacute;polis,SC,Corrida de Rua,1,Terceiros,19
35828,Circuito das Estações 2019 - Outono - Curitiba,2019-03-31 00:00:00,Curitiba,PR,Corrida de Rua,2,O2Corre,14
35862,Circuito das Estações 2019 - Verão - Fortaleza,2019-12-08 00:00:00,Fortaleza,CE,Corrida de Rua,2,O2Corre,14
34331,Circuito das Estações 2018 - Verão - Porto Alegre,2018-12-02 00:00:00,Porto Alegre,RS,Corrida de Rua,2,O2Corre,14
34332,Circuito das Estações 2018 - Verão - Rio de Janeiro,2018-12-02 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,2,O2Corre,14
34337,Circuito das Estações 2018 - Verão - Brasília,2018-12-09 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,2,O2Corre,14
34343,Circuito das Estações 2018 - Verão - Salvador,2018-12-16 00:00:00,Salvador,BA,Corrida de Rua,2,O2Corre,14
36369,Circuito das Estações 2019 - Inverno - João Pessoa,2019-07-21 00:00:00,Jo&atilde;o Pessoa,PB,Corrida de Rua,1,O2Corre,14
